"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,49585.00,0.00,0.00,16666.00,0.00,813.00,117.00,101.00,"Ryan International Airlines","RYQ","GUM","ROR",7,"715",2,1997,4,12,2,"P",
0.00,1.00,26040.00,108.00,96.00,0.00,0.00,142.00,46.00,30.00,"United Air Lines Inc.","UA","HDN","DEN",6,"616",1,1997,4,12,1,"F",
0.00,1.00,37610.00,149.00,40.00,0.00,50.00,102.00,43.00,29.00,"Delta Air Lines Inc.","DL","HLN","MSO",7,"715",1,1997,4,12,1,"F",
0.00,1.00,31800.00,128.00,89.00,0.00,0.00,402.00,65.00,53.00,"Delta Air Lines Inc.","DL","HLN","SLC",6,"619",1,1997,4,12,1,"F",
0.00,31.00,2378340.00,9145.00,7703.00,67480.00,54268.00,4502.00,14727.00,13903.00,"Delta Air Lines Inc.","DL","HNL","ATL",7,"760",1,1997,4,12,10,"F",
0.00,2.00,144850.00,459.00,413.00,3682.00,3235.00,3784.00,809.00,749.00,"Delta Air Lines Inc.","DL","HNL","DFW",7,"765",1,1997,4,12,8,"F",
0.00,29.00,2219310.00,8555.00,5906.00,58712.00,90166.00,3784.00,11885.00,11065.00,"Delta Air Lines Inc.","DL","HNL","DFW",7,"760",1,1997,4,12,8,"F",
0.00,28.00,704780.00,3232.00,2309.00,5545.00,3540.00,216.00,1408.00,1029.00,"Aloha Airlines Inc.","AQ","HNL","ITO",6,"621",1,1997,4,12,1,"F",
0.00,1.00,55867.00,0.00,0.00,8056.00,0.00,216.00,70.00,43.00,"Kitty Hawk International","CDQ","HNL","ITO",7,"715",2,1997,4,12,1,"P",
0.00,2.00,111734.00,0.00,0.00,57160.00,0.00,169.00,111.00,56.00,"Kitty Hawk International","CDQ","HNL","KOA",7,"715",2,1997,4,12,1,"P",
0.00,97.00,2439155.00,11182.00,8424.00,6642.00,7890.00,169.00,4095.00,2891.00,"Aloha Airlines Inc.","AQ","HNL","KOA",6,"621",1,1997,4,12,1,"F",
0.00,9.00,1471131.00,0.00,0.00,1276839.00,0.00,2556.00,2757.00,2439.00,"Gemini Air Cargo Airways","GR","HNL","LAX",7,"732",2,1997,4,12,6,"P",
