"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,26500.00,101.00,31.00,21.00,0.00,50.00,28.00,20.00,"US Airways Inc.","US","ABE","AVP",6,"640",1,1997,1,2,1,"F",
0.00,1.00,36924.00,141.00,113.00,99.00,0.00,50.00,34.00,17.00,"US Airways Inc.","US","ABE","AVP",6,"655",1,1997,1,2,1,"F",
0.00,2.00,21000.00,92.00,61.00,0.00,0.00,67.00,85.00,65.00,"ExpressJet Airlines Inc.","RU","ABE","EWR",4,"441",1,1997,1,2,1,"F",
0.00,1.00,31800.00,126.00,51.00,0.00,2331.00,654.00,103.00,94.00,"United Air Lines Inc.","UA","ABE","ORD",6,"619",1,1997,1,2,2,"F",
0.00,2.00,73120.00,294.00,100.00,712.00,0.00,654.00,229.00,196.00,"United Air Lines Inc.","UA","ABE","ORD",7,"715",1,1997,1,2,2,"F",
0.00,1.00,16564.00,68.00,68.00,0.00,0.00,55.00,41.00,25.00,"US Airways Inc.","US","ABE","PHL",6,"602",1,1997,1,2,1,"F",
0.00,1.00,26500.00,101.00,57.00,0.00,1080.00,475.00,101.00,90.00,"US Airways Inc.","US","ABE","TRI",6,"640",1,1997,1,2,1,"F",
0.00,1.00,32460.00,132.00,96.00,1690.00,306.00,569.00,90.00,72.00,"America West Airlines Inc.","HP","ABQ","DFW",6,"619",1,1997,1,2,2,"F",
0.00,1.00,34300.00,142.00,123.00,0.00,2051.00,1126.00,195.00,176.00,"Delta Air Lines Inc.","DL","ABQ","HSV",6,"655",1,1997,1,2,3,"F",
0.00,1.00,38440.00,150.00,120.00,250.00,1968.00,487.00,78.00,66.00,"America West Airlines Inc.","HP","ABQ","LAS",6,"694",1,1997,1,2,1,"F",
0.00,4.00,150552.00,576.00,560.00,487.00,1043.00,328.00,308.00,229.00,"US Airways Inc.","US","ABQ","PHX",6,"617",1,1997,1,2,1,"F",
0.00,2.00,76880.00,300.00,208.00,1513.00,749.00,328.00,144.00,108.00,"America West Airlines Inc.","HP","ABQ","PHX",6,"694",1,1997,1,2,1,"F",
0.00,1.00,39125.00,149.00,98.00,370.00,200.00,321.00,76.00,54.00,"Northwest Airlines Inc.","NW","ABQ","TUS",7,"715",1,1997,1,2,1,"F",
0.00,1.00,7500.00,30.00,6.00,0.00,0.00,87.00,31.00,17.00,"ExpressJet Airlines Inc.","RU","ACT","CLL",4,"461",1,1997,1,2,1,"F",
0.00,1.00,17187.00,43.00,4.00,66.00,503.00,616.00,104.00,91.00,"Reeve Aleutian Airways Inc.","RV","ADK","CDB",5,"550",3,1997,1,2,2,"F",
0.00,26.00,785160.00,712.00,397.00,384859.00,3005.00,252.00,1404.00,1054.00,"Alaska Airlines Inc.","AS","ADQ","ANC",6,"621",3,1997,1,2,1,"F",
0.00,1.00,39000.00,173.00,0.00,0.00,0.00,1880.00,220.00,203.00,"Miami Air International","MMQ","AEX","SJU",7,"715",1,1997,1,2,4,"L",
0.00,2.00,94000.00,360.00,335.00,1403.00,4600.00,143.00,154.00,121.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"622",1,1997,1,2,1,"F",
0.00,1.00,14523.00,66.00,35.00,0.00,0.00,108.00,95.00,80.00,"ExpressJet Airlines LLC","EV","AGS","MCN",4,"442",1,1997,1,2,1,"F",
0.00,23.00,673650.00,904.00,475.00,50552.00,168368.00,71.00,649.00,465.00,"Alaska Airlines Inc.","AS","AKN","DLG",6,"621",3,1997,1,2,1,"F",
0.00,1.00,34300.00,142.00,121.00,0.00,6.00,852.00,164.00,144.00,"Delta Air Lines Inc.","DL","ALB","ATL",6,"655",1,1997,1,2,2,"F",
0.00,1.00,36560.00,147.00,48.00,0.00,27.00,80.00,29.00,19.00,"United Air Lines Inc.","UA","ALB","BDL",7,"715",1,1997,1,2,1,"F",
0.00,1.00,26740.00,109.00,107.00,0.00,75.00,251.00,99.00,51.00,"United Air Lines Inc.","UA","ALB","BUF",6,"620",1,1997,1,2,1,"F",
0.00,1.00,31824.00,126.00,64.00,19.00,0.00,288.00,87.00,74.00,"US Airways Inc.","US","ALB","BWI",6,"619",1,1997,1,2,1,"F",
0.00,1.00,23680.00,100.00,57.00,0.00,0.00,116.00,43.00,28.00,"Northwest Airlines Inc.","NW","ALB","HPN",6,"640",1,1997,1,2,1,"F",
0.00,3.00,78120.00,324.00,206.00,345.00,1475.00,723.00,376.00,312.00,"United Air Lines Inc.","UA","ALB","ORD",6,"616",1,1997,1,2,2,"F",
0.00,1.00,25450.00,100.00,43.00,0.00,300.00,212.00,75.00,59.00,"Northwest Airlines Inc.","NW","ALB","PHL",6,"640",1,1997,1,2,1,"F",
0.00,1.00,36924.00,141.00,74.00,197.00,1843.00,367.00,83.00,62.00,"US Airways Inc.","US","ALB","PIT",6,"655",1,1997,1,2,1,"F",
0.00,1.00,7500.00,30.00,30.00,0.00,0.00,368.00,200.00,185.00,"ExpressJet Airlines Inc.","RU","ALB","YNG",4,"461",1,1997,1,2,1,"F",
0.00,1.00,14523.00,66.00,60.00,0.00,0.00,313.00,78.00,64.00,"ExpressJet Airlines LLC","EV","AMA","DFW",4,"442",1,1997,1,2,1,"F",
0.00,26.00,785160.00,712.00,300.00,85014.00,58276.00,252.00,1561.00,1201.00,"Alaska Airlines Inc.","AS","ANC","ADQ",6,"621",3,1997,1,2,1,"F",
0.00,23.00,673650.00,904.00,432.00,53398.00,227040.00,289.00,1398.00,1127.00,"Alaska Airlines Inc.","AS","ANC","AKN",6,"621",3,1997,1,2,1,"F",
0.00,70.00,2015290.00,3528.00,2062.00,108411.00,481136.00,399.00,5066.00,4222.00,"Alaska Airlines Inc.","AS","ANC","BET",6,"621",3,1997,1,2,1,"F",
0.00,3.00,59471.00,146.00,84.00,4026.00,10449.00,621.00,409.00,370.00,"Reeve Aleutian Airways Inc.","RV","ANC","CDB",5,"550",3,1997,1,2,2,"F",
0.00,23.00,639140.00,1520.00,861.00,67818.00,37397.00,160.00,1075.00,792.00,"Alaska Airlines Inc.","AS","ANC","CDV",6,"621",3,1997,1,2,1,"F",
0.00,3.00,106300.00,420.00,113.00,5954.00,5111.00,160.00,145.00,104.00,"Alaska Airlines Inc.","AS","ANC","CDV",6,"617",1,1997,1,2,1,"F",
0.00,38.00,1071600.00,2256.00,1210.00,110244.00,45449.00,792.00,4866.00,4391.00,"Alaska Airlines Inc.","AS","ANC","DUT",6,"621",3,1997,1,2,2,"F",
0.00,55.00,1564710.00,3026.00,2091.00,195375.00,108435.00,261.00,2893.00,2178.00,"Alaska Airlines Inc.","AS","ANC","FAI",6,"621",3,1997,1,2,1,"F",
0.00,11.00,1826000.00,0.00,0.00,1024217.00,0.00,3385.00,4269.00,4044.00,"Gemini Air Cargo Airways","GR","ANC","JFK",7,"732",2,1997,1,2,7,"P",
0.00,1.00,35630.00,140.00,0.00,535.00,0.00,571.00,141.00,118.00,"Alaska Airlines Inc.","AS","ANC","JNU",6,"655",1,1997,1,2,2,"F",
0.00,16.00,443270.00,1120.00,683.00,61656.00,17633.00,571.00,1583.00,1374.00,"Alaska Airlines Inc.","AS","ANC","JNU",6,"621",3,1997,1,2,2,"F",
0.00,1.00,35400.00,140.00,66.00,2807.00,3168.00,774.00,198.00,177.00,"Alaska Airlines Inc.","AS","ANC","KTN",6,"617",1,1997,1,2,2,"F",
0.00,1.00,218245.00,0.00,0.00,178968.00,0.00,2345.00,325.00,290.00,"Kitty Hawk International","CDQ","ANC","LAX",8,"816",2,1997,1,2,5,"P",
0.00,50.00,1446800.00,2414.00,1396.00,191202.00,429827.00,539.00,4515.00,3804.00,"Alaska Airlines Inc.","AS","ANC","OME",6,"621",3,1997,1,2,2,"F",
0.00,36.00,1043810.00,1676.00,806.00,71742.00,277347.00,549.00,3232.00,2794.00,"Alaska Airlines Inc.","AS","ANC","OTZ",6,"621",3,1997,1,2,2,"F",
0.00,1.00,27065.00,111.00,96.00,85.00,279.00,677.00,112.00,99.00,"Alaska Airlines Inc.","AS","ANC","PSG",6,"621",1,1997,1,2,2,"F",
0.00,28.00,814570.00,1238.00,438.00,222204.00,5519.00,627.00,2728.00,2410.00,"Alaska Airlines Inc.","AS","ANC","SCC",6,"621",3,1997,1,2,2,"F",
